"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","redlist","status","gisd","ecoregion"
"63",439907,439907,439898,"Species","Eptatretus laurahubbsae","McMillan & Wisner, 1984",279285,1,1,"Chordata","Myxiniformes","Myxinidae","Eptatretus","Eptatretus laurahubbsae","Myxini",TRUE,"LC",NA,"Juan Fernandez and Desventuradas"
"64",440551,440551,776446,"Species","Ethmidium maculatum","(Valenciennes, 1847)",280726,2,2,"Chordata","Clupeiformes","Clupeidae","Ethmidium","Ethmidium maculatum","Actinopteri",TRUE,"DD",NA,"Juan Fernandez and Desventuradas"
"65",440774,440774,745572,"Species","Euaugaptilus bullifer","(Giesbrecht, 1889)",104383,1,1,"Arthropoda","Calanoida","Augaptilidae","Euaugaptilus","Euaugaptilus bullifer",NA,NA,NA,NA,"Juan Fernandez and Desventuradas"
"66",440792,440792,745572,"Species","Euaugaptilus magnus","(Wolfenden, 1904)",104402,2,1,"Arthropoda","Calanoida","Augaptilidae","Euaugaptilus","Euaugaptilus magnus",NA,NA,NA,NA,"Juan Fernandez and Desventuradas"
"67",440926,440926,625137,"Species","Euchaeta marina","(Prestandrea, 1833)",104552,1,1,"Arthropoda","Calanoida","Euchaetidae","Euchaeta","Euchaeta marina",NA,NA,NA,NA,"Juan Fernandez and Desventuradas"
"68",440941,440941,625137,"Species","Euchaeta spinosa","Giesbrecht, 1893",104555,8,2,"Arthropoda","Calanoida","Euchaetidae","Euchaeta","Euchaeta spinosa",NA,NA,NA,NA,"Juan Fernandez and Desventuradas"
"69",441033,441033,697394,"Species","Euchirella maxima","Wolfenden, 1905",104300,2,1,"Arthropoda","Calanoida","Aetideidae","Euchirella","Euchirella maxima",NA,NA,NA,NA,"Juan Fernandez and Desventuradas"
"70",441146,441146,777988,"Species","Eucleoteuthis luminosa","(Sasaki, 1915)",342313,1,1,"Mollusca","Oegopsida","Ommastrephidae","Eucleoteuthis","Eucleoteuthis luminosa","Cephalopoda",TRUE,"LC",NA,"Juan Fernandez and Desventuradas"
"71",441191,441191,441186,"Species","Eucopia grimaldii","Nouvel, 1942",119917,1,1,"Arthropoda","Lophogastrida","Eucopiidae","Eucopia","Eucopia grimaldii","Malacostraca",NA,NA,NA,"Juan Fernandez and Desventuradas"
"72",441198,441198,441186,"Species","Eucopia unguiculata","(Willemoes-Suhm, 1875)",119921,1,1,"Arthropoda","Lophogastrida","Eucopiidae","Eucopia","Eucopia unguiculata","Malacostraca",NA,NA,NA,"Juan Fernandez and Desventuradas"
"73",441524,441524,697424,"Species","Eukrohnia hamata","(Möbius, 1875)",105416,8,1,"Chaetognatha","Phragmophora","Eukrohniidae","Eukrohnia","Eukrohnia hamata","Sagittoidea",NA,NA,NA,"Juan Fernandez and Desventuradas"
"74",441758,441758,697443,"Genus","Eunice","Cuvier, 1817",129278,1,1,"Annelida","Eunicida","Eunicidae","Eunice",NA,"Polychaeta",NA,NA,NA,"Juan Fernandez and Desventuradas"
"75",441991,441991,697444,"Species","Euphausia diomedeae","Ortmann, 1894",221056,1,1,"Arthropoda","Euphausiacea","Euphausiidae","Euphausia","Euphausia diomedeae","Malacostraca",NA,NA,NA,"Juan Fernandez and Desventuradas"
"76",441997,441997,697444,"Species","Euphausia gibboides","Ortmann, 1893",110684,18,1,"Arthropoda","Euphausiacea","Euphausiidae","Euphausia","Euphausia gibboides","Malacostraca",NA,NA,NA,"Juan Fernandez and Desventuradas"
"77",442005,442005,697444,"Species","Euphausia lucens","Hansen, 1905",221055,1,1,"Arthropoda","Euphausiacea","Euphausiidae","Euphausia","Euphausia lucens","Malacostraca",NA,NA,NA,"Juan Fernandez and Desventuradas"
"78",442007,442007,697444,"Species","Euphausia mutica","Hansen, 1905",110688,3,1,"Arthropoda","Euphausiacea","Euphausiidae","Euphausia","Euphausia mutica","Malacostraca",NA,NA,NA,"Juan Fernandez and Desventuradas"
"79",442013,442013,697444,"Species","Euphausia recurva","Hansen, 1905",221047,24,2,"Arthropoda","Euphausiacea","Euphausiidae","Euphausia","Euphausia recurva","Malacostraca",NA,NA,NA,"Juan Fernandez and Desventuradas"
"80",442016,442016,697444,"Species","Euphausia similis","G.O. Sars, 1885",221048,5,2,"Arthropoda","Euphausiacea","Euphausiidae","Euphausia","Euphausia similis","Malacostraca",NA,NA,NA,"Juan Fernandez and Desventuradas"
"81",442532,442532,772501,"Family","Eusiridae","Stebbing, 1888",101380,1,1,"Arthropoda","Amphipoda","Eusiridae",NA,NA,"Malacostraca",NA,NA,NA,"Juan Fernandez and Desventuradas"
"82",443834,443834,509465,"Genus","Filograna","Berkeley, 1835",129563,1,1,"Annelida","Sabellida","Serpulidae","Filograna",NA,"Polychaeta",NA,NA,NA,"Juan Fernandez and Desventuradas"
"83",444121,444121,767595,"Species","Flaccisagitta enflata","(Grassi, 1881)",105434,7,1,"Chaetognatha","Aphragmophora","Sagittidae","Flaccisagitta","Flaccisagitta enflata","Sagittoidea",NA,NA,NA,"Juan Fernandez and Desventuradas"
"84",444122,444122,767595,"Species","Flaccisagitta hexaptera","(d'Orbigny, 1836)",105435,3,1,"Chaetognatha","Aphragmophora","Sagittidae","Flaccisagitta","Flaccisagitta hexaptera","Sagittoidea",NA,NA,NA,"Juan Fernandez and Desventuradas"
"85",444845,444845,444817,"Species","Fungiacyathus marenzelleri","(Vaughan, 1906)",135205,1,1,"Cnidaria","Scleractinia","Fungiacyathidae","Fungiacyathus","Fungiacyathus marenzelleri","Anthozoa",NA,NA,NA,"Juan Fernandez and Desventuradas"
