"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","redlist","status","records","datasets","phylum","order","family","genus","species","class","ecoregion"
"97",444215,444215,776469,"Species","Fodiator rostratus","(Günther, 1866)",280792,TRUE,"LC",6,1,"Chordata","Beloniformes","Exocoetidae","Fodiator","Fodiator rostratus","Actinopteri","Magdalena Transition"
"98",444664,444664,444663,"Species","Fulmarus glacialis","(Linnaeus, 1761)",137195,TRUE,"LC",1,1,"Chordata","Procellariiformes","Procellariidae","Fulmarus","Fulmarus glacialis","Aves","Magdalena Transition"
"99",445376,445376,445375,"Species","Galeorhinus galeus","(Linnaeus, 1758)",105820,TRUE,"VU",3,2,"Chordata","Carcharhiniformes","Triakidae","Galeorhinus","Galeorhinus galeus","Elasmobranchii","Magdalena Transition"
"100",446097,446097,446096,"Species","Gempylus serpens","Cuvier, 1829",126862,NA,NA,4,2,"Chordata","Perciformes","Gempylidae","Gempylus","Gempylus serpens","Actinopteri","Magdalena Transition"
"101",446141,446141,446127,"Species","Gennadas sordidus","Kemp, 1910",377443,NA,NA,1,1,"Arthropoda","Decapoda","Benthesicymidae","Gennadas","Gennadas sordidus","Malacostraca","Magdalena Transition"
"102",446562,446562,746789,"Species","Gillellus arenicola","Gilbert, 1890",280841,TRUE,"LC",2,1,"Chordata","Perciformes","Dactyloscopidae","Gillellus","Gillellus arenicola","Actinopteri","Magdalena Transition"
"103",446571,446571,746789,"Species","Gillellus semicinctus","Gilbert, 1890",280849,TRUE,"LC",4,1,"Chordata","Perciformes","Dactyloscopidae","Gillellus","Gillellus semicinctus","Actinopteri","Magdalena Transition"
"104",446724,446724,629011,"Species","Globicephala macrorhynchus","Gray, 1846",137096,TRUE,"DD",19,9,"Chordata","Cetartiodactyla","Delphinidae","Globicephala","Globicephala macrorhynchus","Mammalia","Magdalena Transition"
"105",446737,446737,746827,"Species","Globigerina falconensis","Blow, 1959",221249,NA,NA,6,1,"Foraminifera","Globigerinida","Globigerinidae","Globigerina","Globigerina falconensis","Globothalamea","Magdalena Transition"
"106",446761,446761,446759,"Species","Globigerinita glutinata","(Egger, 1893)",113464,NA,NA,17,1,"Foraminifera","Globigerinida","Candeinidae","Globigerinita","Globigerinita glutinata","Globothalamea","Magdalena Transition"
"107",446766,446766,446759,"Species","Globigerinita uvula","(Ehrenberg, 1861)",113465,NA,NA,7,1,"Foraminifera","Globigerinida","Candeinidae","Globigerinita","Globigerinita uvula","Globothalamea","Magdalena Transition"
"108",446768,446768,446767,"Species","Globigerinoides conglobatus","(Brady, 1879)",113441,NA,NA,6,1,"Foraminifera","Globigerinida","Globigerinidae","Globigerinoides","Globigerinoides conglobatus","Globothalamea","Magdalena Transition"
"109",446821,446821,629048,"Species","Globorotalia scitula","(Brady, 1882)",113452,NA,NA,11,1,"Foraminifera","Globigerinida","Globorotaliidae","Globorotalia","Globorotalia scitula","Globothalamea","Magdalena Transition"
