"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","class","species","redlist","status","gisd","ecoregion"
"2453",851235,851235,472299,"Species","Moenkhausia oligolepis",NA,NA,118,3,"Chordata","Characiformes","Characidae","Moenkhausia","Actinopterygii","Moenkhausia oligolepis",NA,NA,NA,"Guianan"
"2454",851240,851240,749375,"Species","Lasiancistrus brevispinis",NA,NA,8,1,"Chordata","Siluriformes","Loricariidae","Lasiancistrus","Actinopterygii","Lasiancistrus brevispinis",NA,NA,NA,"Guianan"
"2455",851245,851245,855452,"Species","Paulasquama callis",NA,NA,17,2,"Chordata","Siluriformes","Loricariidae","Paulasquama","Actinopterygii","Paulasquama callis",NA,NA,NA,"Guianan"
"2456",851256,851256,855482,"Species","Bivibranchia simulata",NA,NA,2,2,"Chordata","Characiformes","Hemiodontidae","Bivibranchia","Actinopterygii","Bivibranchia simulata",TRUE,"LC",NA,"Guianan"
"2457",851258,851258,749580,"Species","Leporinus alternus",NA,NA,14,2,"Chordata","Characiformes","Anostomidae","Leporinus","Actinopterygii","Leporinus alternus",NA,NA,NA,"Guianan"
"2458",851260,851260,755855,"Species","Pimelodus albofasciatus",NA,NA,18,2,"Chordata","Siluriformes","Pimelodidae","Pimelodus","Actinopterygii","Pimelodus albofasciatus",NA,NA,NA,"Guianan"
"2459",851262,851262,535008,"Species","Auchenipterus brevior",NA,NA,21,2,"Chordata","Siluriformes","Auchenipteridae","Auchenipterus","Actinopterygii","Auchenipterus brevior",NA,NA,NA,"Guianan"
"2460",851263,851263,747758,"Species","Harttia guianensis",NA,NA,15,1,"Chordata","Siluriformes","Loricariidae","Harttia","Actinopterygii","Harttia guianensis",NA,NA,NA,"Guianan"
"2461",851267,851267,854687,"Species","Centromochlus heckelii",NA,NA,1,1,"Chordata","Siluriformes","Auchenipteridae","Centromochlus","Actinopterygii","Centromochlus heckelii",NA,NA,NA,"Guianan"
"2462",851282,851282,855444,"Species","Nemadoras leporhinus",NA,NA,7,2,"Chordata","Siluriformes","Doradidae","Nemadoras","Actinopterygii","Nemadoras leporhinus",NA,NA,NA,"Guianan"
"2463",851303,851303,427200,"Species","Corydoras melanistius",NA,NA,22,2,"Chordata","Siluriformes","Callichthyidae","Corydoras","Actinopterygii","Corydoras melanistius",NA,NA,NA,"Guianan"
"2464",851304,851304,854140,"Species","Hemiodopsis microlepis",NA,NA,6,2,"Chordata","Characiformes","Hemiodontidae","Hemiodopsis","Actinopterygii","Hemiodopsis microlepis",NA,NA,NA,"Guianan"
"2465",851306,851306,855444,"Species","Nemadoras trimaculatus",NA,NA,4,2,"Chordata","Siluriformes","Doradidae","Nemadoras","Actinopterygii","Nemadoras trimaculatus",NA,NA,NA,"Guianan"
"2466",851318,851318,760000,"Species","Steindachnerina bimaculata",NA,NA,2,2,"Chordata","Characiformes","Curimatidae","Steindachnerina","Actinopterygii","Steindachnerina bimaculata",NA,NA,NA,"Guianan"
"2467",851328,851328,755854,"Genus","Cheirocerus","Eigenmann, 1917",268730,1,1,"Chordata","Siluriformes","Pimelodidae","Cheirocerus","Actinopteri",NA,NA,NA,NA,"Guianan"
