"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","redlist","status","gisd","hab","ecoregion"
"13",399251,399251,695389,"Species","Albunea gibbesii","Stimpson, 1859",421880,1,1,"Arthropoda","Decapoda","Albuneidae","Albunea","Albunea gibbesii","Malacostraca",NA,NA,NA,NA,"Amazonia"
"14",399728,399728,422513,"Genus","Alona","Baird, 1843",148383,2,2,"Arthropoda","Diplostraca","Chydoridae","Alona",NA,"Branchiopoda",NA,NA,NA,NA,"Amazonia"
"15",399767,399767,598830,"Species","Alosa pseudoharengus","(Wilson, 1811)",158669,1,1,"Chordata","Clupeiformes","Clupeidae","Alosa","Alosa pseudoharengus","Actinopteri",TRUE,"LC",TRUE,NA,"Amazonia"
"16",399798,399798,399779,"Genus","Alpheus","Fabricius, 1798",106978,7,2,"Arthropoda","Decapoda","Alpheidae","Alpheus",NA,"Malacostraca",NA,NA,NA,NA,"Amazonia"
"17",399868,399868,399798,"Species","Alpheus heterochaelis","Say, 1818",158348,1,1,"Arthropoda","Decapoda","Alpheidae","Alpheus","Alpheus heterochaelis","Malacostraca",NA,NA,NA,NA,"Amazonia"
"18",400166,400166,599174,"Species","Amaeana trilobata","(Sars, 1863)",131471,1,1,"Annelida","Terebellida","Terebellidae","Amaeana","Amaeana trilobata","Polychaeta",NA,NA,NA,NA,"Amazonia"
"19",400575,400575,779754,"Species","Americardia media","(Linnaeus, 1758)",420847,1,1,"Mollusca","Cardiida","Cardiidae","Americardia","Americardia media","Bivalvia",NA,NA,NA,NA,"Amazonia"
"20",400955,400955,776148,"Species","Amphiarius phrygiatus","(Valenciennes, 1840)",279586,10,3,"Chordata","Siluriformes","Ariidae","Amphiarius","Amphiarius phrygiatus","Actinopteri",TRUE,"LC",NA,NA,"Amazonia"
"21",400956,400956,776148,"Species","Amphiarius rugispinis","(Valenciennes, 1840)",279587,22,5,"Chordata","Siluriformes","Ariidae","Amphiarius","Amphiarius rugispinis","Actinopteri",NA,NA,NA,NA,"Amazonia"
"22",401022,401022,737969,"Genus","Amphicteis","Grube, 1850",129156,1,1,"Annelida","Terebellida","Ampharetidae","Amphicteis",NA,"Polychaeta",NA,NA,NA,NA,"Amazonia"
"23",401024,401024,401022,"Species","Amphicteis gunneri","(M. Sars, 1835)",129784,1,1,"Annelida","Terebellida","Ampharetidae","Amphicteis","Amphicteis gunneri","Polychaeta",NA,NA,NA,NA,"Amazonia"
"24",401633,401633,401717,"Genus","Amphiura","Forbes, 1843",123613,2,1,"Echinodermata","Ophiurida","Amphiuridae","Amphiura",NA,"Ophiuroidea",NA,NA,NA,NA,"Amazonia"
"25",401723,401723,770794,"Genus","Amphora","Ehrenberg ex Kützing, 1844",149200,6,1,"Ochrophyta","Thalassiophysales","Catenulaceae","Amphora",NA,"Bacillariophyceae",NA,NA,NA,TRUE,"Amazonia"
"26",402008,402008,772825,"Species","Amphorides quadrilineata","(Claparède & Lachmann, 1858)",235769,1,1,"Ciliophora","Choreotrichida","Tintinnidae","Amphorides","Amphorides quadrilineata","Oligotrichea",NA,NA,NA,NA,"Amazonia"
