"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","gisd","redlist","status","ecoregion"
"600",758053,758053,753229,"Genus","Rhodococcus","Zopf, 1891",559536,1,1,"Actinobacteria","Actinomycetales","Nocardiaceae","Rhodococcus",NA,"Actinobacteria",NA,NA,NA,"Rio de la Plata"
"601",758054,758054,816032,"Family","Rhodocyclaceae",NA,569933,1,1,"Proteobacteria","Rhodocyclales","Rhodocyclaceae",NA,NA,"Betaproteobacteria",NA,NA,NA,"Rio de la Plata"
"602",758071,758071,737739,"Order","Rhodospirillales",NA,392751,11,1,"Proteobacteria","Rhodospirillales",NA,NA,NA,"Alphaproteobacteria",NA,NA,NA,"Rio de la Plata"
"603",758143,758143,758144,"Genus","Rickettsia",NA,NA,1,1,"Proteobacteria","Rickettsiales","Rickettsiaceae","Rickettsia",NA,"Alphaproteobacteria",NA,NA,NA,"Rio de la Plata"
"604",758145,758145,737739,"Order","Rickettsiales",NA,570969,5,1,"Proteobacteria","Rickettsiales",NA,NA,NA,"Alphaproteobacteria",NA,NA,NA,"Rio de la Plata"
"605",758153,758153,739464,"Family","Rikenellaceae",NA,559872,2,1,"Bacteroidetes","Bacteroidales","Rikenellaceae",NA,NA,"Bacteroidia",NA,NA,NA,"Rio de la Plata"
"606",758238,758238,749169,"Genus","Roseburia","Stanton & Savage, 1983",571331,1,1,"Firmicutes","Clostridiales","Lachnospiraceae","Roseburia",NA,"Clostridia",NA,NA,NA,"Rio de la Plata"
"607",758252,758252,758046,"Genus","Roseovarius",NA,393159,3,1,"Proteobacteria","Rhodobacterales","Rhodobacteraceae","Roseovarius",NA,"Alphaproteobacteria",NA,NA,NA,"Rio de la Plata"
"608",758266,758266,751739,"Genus","Rothia",NA,559743,2,1,"Actinobacteria","Actinomycetales","Micrococcaceae","Rothia",NA,"Actinobacteria",NA,NA,NA,"Rio de la Plata"
"609",758280,758280,762713,"Genus","Rubritalea","Scheuermayer, Gulder, Bringmann & Hentschel, 2006",564333,2,1,"Verrucomicrobia","Verrucomicrobiales","Verrucomicrobiaceae","Rubritalea",NA,"Verrucomicrobiae",NA,NA,NA,"Rio de la Plata"
