"","id","valid_id","parent_id","rank_name","tname","tauthor","records","datasets","phylum","order","family","genus","species","class","worms_id","redlist","status","hab","gisd","ecoregion"
"92",418669,418669,767906,"Genus","Ceratium","Schrank, 1793",255,2,"Myzozoa","Gonyaulacales","Ceratiaceae","Ceratium",NA,"Dinophyceae",109506,NA,NA,NA,NA,"Central Peru"
"93",418675,418675,418669,"Species","Ceratium belone","Cleve, 1900",56,1,"Myzozoa","Gonyaulacales","Ceratiaceae","Ceratium","Ceratium belone","Dinophyceae",109931,NA,NA,NA,NA,"Central Peru"
"94",418691,1033619,418669,"Species","Ceratium contortum","(Gourret) Cleve, 1900",3,1,"Myzozoa","Gonyaulacales","Ceratiaceae","Ceratium","Ceratium contortum","Dinophyceae",109941,NA,NA,NA,NA,"Central Peru"
"95",418692,418692,418669,"Species","Ceratium contrarium","(Gourret) Pavillard, 1905",10,1,"Myzozoa","Gonyaulacales","Ceratiaceae","Ceratium","Ceratium contrarium","Dinophyceae",109942,NA,NA,NA,NA,"Central Peru"
"96",418699,418699,418669,"Species","Ceratium extensum","(Gourret) Cleve-Euler, 1900",405,1,"Myzozoa","Gonyaulacales","Ceratiaceae","Ceratium","Ceratium extensum","Dinophyceae",109947,NA,NA,NA,NA,"Central Peru"
"97",418701,418701,418669,"Species","Ceratium falcatiforme","Jörgensen, 1920",99,1,"Myzozoa","Gonyaulacales","Ceratiaceae","Ceratium","Ceratium falcatiforme","Dinophyceae",109948,NA,NA,NA,NA,"Central Peru"
"98",418702,418702,418669,"Species","Ceratium falcatum","(Kofoid) Jörgensen, 1920",136,3,"Myzozoa","Gonyaulacales","Ceratiaceae","Ceratium","Ceratium falcatum","Dinophyceae",109949,NA,NA,NA,NA,"Central Peru"
"99",418711,418711,418669,"Species","Ceratium fusus","(Ehrenberg) Dujardin, 1841",1871,3,"Myzozoa","Gonyaulacales","Ceratiaceae","Ceratium","Ceratium fusus","Dinophyceae",109951,NA,NA,NA,NA,"Central Peru"
"100",418715,418715,418669,"Species","Ceratium geniculatum","(Lemmermann) Cleve, 1900",39,2,"Myzozoa","Gonyaulacales","Ceratiaceae","Ceratium","Ceratium geniculatum","Dinophyceae",109952,NA,NA,NA,NA,"Central Peru"
"101",418716,418716,418669,"Species","Ceratium gibberum","Gourret, 1883",498,2,"Myzozoa","Gonyaulacales","Ceratiaceae","Ceratium","Ceratium gibberum","Dinophyceae",109953,NA,NA,NA,NA,"Central Peru"
"102",418719,418719,418669,"Species","Ceratium gravidum","Gourret, 1883",454,2,"Myzozoa","Gonyaulacales","Ceratiaceae","Ceratium","Ceratium gravidum","Dinophyceae",109954,NA,NA,NA,NA,"Central Peru"
"103",418720,418720,418669,"Species","Ceratium hexacanthum","Gourret, 1883",218,3,"Myzozoa","Gonyaulacales","Ceratiaceae","Ceratium","Ceratium hexacanthum","Dinophyceae",109955,NA,NA,NA,NA,"Central Peru"
"104",418727,418727,418669,"Species","Ceratium inflatum","(Kofoid) E.G.Jørgensen, 1911",193,1,"Myzozoa","Gonyaulacales","Ceratiaceae","Ceratium","Ceratium inflatum","Dinophyceae",109958,NA,NA,NA,NA,"Central Peru"
"105",418738,418738,418669,"Species","Ceratium longirostrum","Gourret, 1883",321,1,"Myzozoa","Gonyaulacales","Ceratiaceae","Ceratium","Ceratium longirostrum","Dinophyceae",109965,NA,NA,NA,NA,"Central Peru"
"106",418744,418744,418669,"Species","Ceratium massiliense","(Gourret) Karsten, 1906",1261,3,"Myzozoa","Gonyaulacales","Ceratiaceae","Ceratium","Ceratium massiliense","Dinophyceae",109968,NA,NA,NA,NA,"Central Peru"
"107",418754,418754,418669,"Species","Ceratium petersii","Steemann Nielsen, 1934",2,1,"Myzozoa","Gonyaulacales","Ceratiaceae","Ceratium","Ceratium petersii","Dinophyceae",196823,NA,NA,NA,NA,"Central Peru"
"108",418755,418755,418669,"Species","Ceratium platycorne","Daday, 1888",47,1,"Myzozoa","Gonyaulacales","Ceratiaceae","Ceratium","Ceratium platycorne","Dinophyceae",196824,NA,NA,NA,NA,"Central Peru"
"109",418770,418770,418669,"Species","Ceratium setaceum","E.G.Jørgensen, 1911",32,1,"Myzozoa","Gonyaulacales","Ceratiaceae","Ceratium","Ceratium setaceum","Dinophyceae",109977,NA,NA,NA,NA,"Central Peru"
"110",418772,418772,418669,"Species","Ceratium symmetricum","Pavillard, 1905",182,2,"Myzozoa","Gonyaulacales","Ceratiaceae","Ceratium","Ceratium symmetricum","Dinophyceae",109979,NA,NA,NA,NA,"Central Peru"
"111",418775,418775,418669,"Species","Ceratium teres","Kofoid, 1907",18,2,"Myzozoa","Gonyaulacales","Ceratiaceae","Ceratium","Ceratium teres","Dinophyceae",109980,NA,NA,NA,NA,"Central Peru"
"112",418777,418777,418669,"Species","Ceratium trichoceros","(Ehrenberg) Kofoid, 1881",1026,1,"Myzozoa","Gonyaulacales","Ceratiaceae","Ceratium","Ceratium trichoceros","Dinophyceae",109981,NA,NA,NA,NA,"Central Peru"
"113",418779,418779,418669,"Species","Ceratium tripos","(O.F.Müller) Nitzsch, 1817",4632,2,"Myzozoa","Gonyaulacales","Ceratiaceae","Ceratium","Ceratium tripos","Dinophyceae",109982,NA,NA,NA,NA,"Central Peru"
"114",418818,418818,741384,"Species","Ceratocorys armata","(Schütt) Kofoid, 1910",135,2,"Myzozoa","Gonyaulacales","Ceratocoryaceae","Ceratocorys","Ceratocorys armata","Dinophyceae",109984,NA,NA,NA,NA,"Central Peru"
"115",419486,419486,770762,"Genus","Chaetoceros","Ehrenberg, 1844",932,2,"Ochrophyta","Chaetocerotanae incertae sedis","Chaetocerotaceae","Chaetoceros",NA,"Bacillariophyceae",148985,NA,NA,NA,NA,"Central Peru"
"116",419493,419493,419486,"Species","Chaetoceros affinis","Lauder, 1864",3148,1,"Ochrophyta","Chaetocerotanae incertae sedis","Chaetocerotaceae","Chaetoceros","Chaetoceros affinis","Bacillariophyceae",149241,NA,NA,NA,NA,"Central Peru"
"117",419501,419501,419486,"Species","Chaetoceros anastomosans","Grunow, 1882",14,1,"Ochrophyta","Chaetocerotanae incertae sedis","Chaetocerotaceae","Chaetoceros","Chaetoceros anastomosans","Bacillariophyceae",149292,NA,NA,NA,NA,"Central Peru"
