"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","redlist","status","gisd","ecoregion"
"473",503255,503255,503249,"Species","Rhabderemia uruguaiensis","van Soest & Hooper, 1993",168189,1,1,"Porifera","Biemnida","Rhabderemiidae","Rhabderemia","Rhabderemia uruguaiensis","Demospongiae",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"474",503609,503609,700223,"Species","Rhinobatos horkelii","Müller & Henle, 1841",271597,2,2,"Chordata","Rajiformes","Rhinobatidae","Rhinobatos","Rhinobatos horkelii","Elasmobranchii",TRUE,"CR",NA,"Uruguay-Buenos Aires Shelf"
"475",503654,503654,769889,"Species","Rhinoclama notabilis","(Jeffreys, 1876)",139469,1,1,"Mollusca",NA,"Cuspidariidae","Rhinoclama","Rhinoclama notabilis","Bivalvia",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"476",503822,503822,503821,"Species","Rhizammina algaeformis","Brady, 1879",113906,2,1,"Foraminifera","Astrorhizida","Rhizamminidae","Rhizammina","Rhizammina algaeformis","Monothalamea",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"477",503849,503849,503836,"Species","Rhizoclonium riparium","(Roth) Harvey, 1849",145075,1,1,"Chlorophyta","Cladophorales","Cladophoraceae","Rhizoclonium","Rhizoclonium riparium","Ulvophyceae",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"478",503894,503894,503888,"Species","Rhizoprionodon porosus","(Poey, 1861)",271328,2,2,"Chordata","Carcharhiniformes","Carcharhinidae","Rhizoprionodon","Rhizoprionodon porosus","Elasmobranchii",TRUE,"LC",NA,"Uruguay-Buenos Aires Shelf"
"479",504396,504396,777008,"Species","Ribeiroclinus eigenmanni","(Jordan, 1888)",282611,4,2,"Chordata","Perciformes","Clinidae","Ribeiroclinus","Ribeiroclinus eigenmanni","Actinopteri",TRUE,"LC",NA,"Uruguay-Buenos Aires Shelf"
"480",504486,504486,758159,"Genus","Ringicula","Deshayes, 1838",138437,3,1,"Mollusca","Heterobranchia incertae sedis","Ringiculidae","Ringicula",NA,"Gastropoda",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"481",504508,504508,777011,"Species","Rioraja agassizii","(Müller & Henle, 1841)",282619,17,3,"Chordata","Rajiformes","Arhynchobatidae","Rioraja","Rioraja agassizii","Elasmobranchii",TRUE,"VU",NA,"Uruguay-Buenos Aires Shelf"
"482",504525,504525,504575,"Genus","Rissoa","Desmarest, 1814",138456,1,1,"Mollusca","Littorinimorpha","Rissoidae","Rissoa",NA,"Gastropoda",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"483",504575,504575,764810,"Family","Rissoidae","Gray, 1847",123,3,1,"Mollusca","Littorinimorpha","Rissoidae",NA,NA,"Gastropoda",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"484",504939,504939,504937,"Species","Rossella antarctica","Carter, 1872",172090,1,1,"Porifera","Lyssacinosida","Rossellidae","Rossella","Rossella antarctica","Hexactinellida",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"485",505249,505249,505245,"Species","Saccammina sphaerica","Brady, 1871",114191,2,1,"Foraminifera","Astrorhizida","Saccamminidae","Saccammina","Saccammina sphaerica","Monothalamea",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"486",505312,505312,770442,"Species","Saccorhiza ramosa","(Brady, 1879)",113974,1,1,"Foraminifera","Astrorhizida","Hyperamminidae","Saccorhiza","Saccorhiza ramosa","Monothalamea",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"487",505452,505452,665844,"Species","Sagartia troglodytes","(Price in Johnston, 1847)",100994,1,1,"Cnidaria","Actiniaria","Sagartiidae","Sagartia","Sagartia troglodytes","Anthozoa",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"488",505460,505460,758390,"Species","Sagartianthus fasciarum","Zamponi, 1980",291004,5,2,"Cnidaria","Actiniaria","Sagartiidae","Sagartianthus","Sagartianthus fasciarum","Anthozoa",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"489",505490,505490,505536,"Genus","Sagitta","Quoy & Gaimard, 1827",105410,11,1,"Chaetognatha","Aphragmophora","Sagittidae","Sagitta",NA,"Sagittoidea",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"490",505495,505495,505490,"Species","Sagitta bipunctata","Quoy & Gaimard, 1827",105448,1,1,"Chaetognatha","Aphragmophora","Sagittidae","Sagitta","Sagitta bipunctata","Sagittoidea",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"491",505545,505545,770417,"Species","Sahlingia subintegra","(Rosenvinge) Kornmann, 1989",145502,1,1,"Rhodophyta","Erythropeltidales","Erythrotrichiaceae","Sahlingia","Sahlingia subintegra","Compsopogonophyceae",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"492",505650,505650,777028,"Species","Salilota australis","(Günther, 1878)",282654,14,2,"Chordata","Gadiformes","Moridae","Salilota","Salilota australis","Actinopteri",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"493",506785,506785,758597,"Genus","Scaphander","Montfort, 1810",137871,4,1,"Mollusca","Cephalaspidea","Scaphandridae","Scaphander",NA,"Gastropoda",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"494",506854,506854,752044,"Class","Scaphopoda","Bronn, 1862",104,2,1,"Mollusca",NA,NA,NA,NA,"Scaphopoda",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"495",507053,507053,507052,"Species","Schedophilus griseolineatus","(Norman, 1937)",273313,10,1,"Chordata","Perciformes","Centrolophidae","Schedophilus","Schedophilus griseolineatus","Actinopteri",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
