"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","redlist","status","hab","gisd","ecoregion"
"1684",670762,670762,670746,"Species","Sterna paradisaea","Pontoppidan, 1763",137165,13,1,"Chordata","Charadriiformes","Sternidae","Sterna","Sterna paradisaea","Aves",TRUE,"LC",NA,NA,"Northeastern Brazil"
"1685",671302,671302,771720,"Species","Strongylura marina","(Walbaum, 1792)",159256,5,1,"Chordata","Beloniformes","Belonidae","Strongylura","Strongylura marina","Actinopteri",TRUE,"LC",NA,NA,"Northeastern Brazil"
"1686",671309,671309,771720,"Species","Strongylura timucu","(Walbaum, 1792)",275987,17,4,"Chordata","Beloniformes","Belonidae","Strongylura","Strongylura timucu","Actinopteri",NA,NA,NA,NA,"Northeastern Brazil"
"1687",671377,671377,760377,"Species","Stylaster duchassaingi","Pourtalès, 1867",285873,2,2,"Cnidaria","Anthoathecata","Stylasteridae","Stylaster","Stylaster duchassaingi","Hydrozoa",NA,NA,NA,NA,"Northeastern Brazil"
"1688",671523,671523,770404,"Species","Stypopodium zonale","(J.V.Lamouroux) Papenfuss, 1940",145392,1,1,"Ochrophyta","Dictyotales","Dictyotaceae","Stypopodium","Stypopodium zonale","Phaeophyceae",NA,NA,NA,NA,"Northeastern Brazil"
"1689",671588,671588,760493,"Species","Sudis atrox","Rofen, 1963",158752,1,1,"Chordata","Aulopiformes","Paralepididae","Sudis","Sudis atrox","Actinopteri",NA,NA,NA,NA,"Northeastern Brazil"
"1690",671640,671640,515299,"Species","Surirella recedens","A.Schmidt, 1875",418456,3,1,"Ochrophyta","Surirellales","Surirellaceae","Surirella","Surirella recedens","Bacillariophyceae",NA,NA,NA,NA,"Northeastern Brazil"
"1691",671668,671668,700835,"Species","Syacium micrurum","Ranzani, 1842",158877,3,2,"Chordata","Pleuronectiformes","Paralichthyidae","Syacium","Syacium micrurum","Actinopteri",NA,NA,NA,NA,"Northeastern Brazil"
"1692",671671,671671,700835,"Species","Syacium papillosum","(Linnaeus, 1758)",158878,5,3,"Chordata","Pleuronectiformes","Paralichthyidae","Syacium","Syacium papillosum","Actinopteri",NA,NA,NA,NA,"Northeastern Brazil"
"1693",671840,671840,760563,"Species","Symphurus tessellatus","(Quoy & Gaimard, 1824)",274276,10,4,"Chordata","Pleuronectiformes","Cynoglossidae","Symphurus","Symphurus tessellatus","Actinopteri",NA,NA,NA,NA,"Northeastern Brazil"
"1694",672141,672141,700886,"Species","Syngnathus pelagicus","Linnaeus, 1758",367332,9,2,"Chordata","Syngnathiformes","Syngnathidae","Syngnathus","Syngnathus pelagicus","Actinopteri",NA,NA,NA,NA,"Northeastern Brazil"
"1695",672142,672142,700886,"Species","Syngnathus scovelli","(Evermann & Kendall, 1896)",275232,5,1,"Chordata","Syngnathiformes","Syngnathidae","Syngnathus","Syngnathus scovelli","Actinopteri",TRUE,"LC",NA,NA,"Northeastern Brazil"
"1696",672231,672231,700896,"Species","Synodus intermedius","(Spix & Agassiz, 1829)",158759,8,2,"Chordata","Aulopiformes","Synodontidae","Synodus","Synodus intermedius","Actinopteri",NA,NA,NA,NA,"Northeastern Brazil"
"1697",672240,672240,700896,"Species","Synodus poeyi","Jordan, 1887",158760,5,1,"Chordata","Aulopiformes","Synodontidae","Synodus","Synodus poeyi","Actinopteri",NA,NA,NA,NA,"Northeastern Brazil"
"1698",672245,672245,700896,"Species","Synodus synodus","(Linnaeus, 1758)",126373,1,1,"Chordata","Aulopiformes","Synodontidae","Synodus","Synodus synodus","Actinopteri",NA,NA,NA,NA,"Northeastern Brazil"
"1699",672255,672255,760688,"Species","Synopia ultramarina","Dana, 1853",211240,1,1,"Arthropoda","Amphipoda","Synopiidae","Synopia","Synopia ultramarina","Malacostraca",NA,NA,NA,NA,"Northeastern Brazil"
"1700",672278,672278,770506,"Genus","Syracosphaera","Lohmann, 1902",115084,3,1,"Haptophyta","Syracosphaerales","Syracosphaeraceae","Syracosphaera",NA,"Prymnesiophyceae",NA,NA,NA,NA,"Northeastern Brazil"
"1701",672284,672284,767028,"Species","Syringonomus dactylatus","Hope, 1988",734413,14,2,"Nematoda","Enoplida","Leptosomatidae","Syringonomus","Syringonomus dactylatus","Enoplea",NA,NA,NA,NA,"Northeastern Brazil"
"1702",672610,672610,749955,"Genus","Tectidrilus","Erséus, 1982",137363,10,1,"Annelida","Haplotaxida","Tubificidae","Tectidrilus",NA,"Clitellata",NA,NA,NA,NA,"Northeastern Brazil"
"1703",673017,673017,760937,"Genus","Temora","Baird, 1850",104241,14,1,"Arthropoda","Calanoida","Temoridae","Temora",NA,NA,NA,NA,NA,NA,"Northeastern Brazil"
"1704",673326,673326,769551,"Species","Testudinella patina","(Hermann, 1783)",134975,6,1,"Rotifera","Flosculariaceae","Testudinellidae","Testudinella","Testudinella patina","Eurotatoria",NA,NA,NA,NA,"Northeastern Brazil"
"1705",673381,673381,773234,"Species","Tetraclita stalactifera","(Lamarck, 1818)",421131,3,1,"Arthropoda","Sessilia","Tetraclitidae","Tetraclita","Tetraclita stalactifera",NA,NA,NA,NA,NA,"Northeastern Brazil"
"1706",673653,673653,518563,"Species","Thalassiosira angulata","(W.Gregory) Hasle, 1978",148913,3,1,"Ochrophyta","Thalassiosirales","Thalassiosiraceae","Thalassiosira","Thalassiosira angulata","Bacillariophyceae",NA,NA,NA,NA,"Northeastern Brazil"
"1707",673659,673659,518563,"Species","Thalassiosira eccentrica","(Ehrenberg) Cleve, 1904",148922,18,2,"Ochrophyta","Thalassiosirales","Thalassiosiraceae","Thalassiosira","Thalassiosira eccentrica","Bacillariophyceae",NA,NA,NA,NA,"Northeastern Brazil"
"1708",673685,673685,766976,"Genus","Thalassironus","De Man, 1889",2527,1,1,"Nematoda","Enoplida","Ironidae","Thalassironus",NA,"Enoplea",NA,NA,NA,NA,"Northeastern Brazil"
"1709",673723,673723,822136,"Species","Thalassomermis megamphis","Tchesunov & Hope, 1997",734445,4,2,"Nematoda","Mermithida","Mermithidae","Thalassomermis","Thalassomermis megamphis","Enoplea",NA,NA,NA,NA,"Northeastern Brazil"
"1710",673744,673744,761259,"Species","Thalassophryne nattereri","Steindachner, 1876",282957,19,5,"Chordata","Batrachoidiformes","Batrachoididae","Thalassophryne","Thalassophryne nattereri","Actinopteri",NA,NA,NA,NA,"Northeastern Brazil"
"1711",673762,673762,769815,"Species","Thalia democratica","(Forskål, 1775)",137279,2,2,"Chordata","Salpida","Salpidae","Thalia","Thalia democratica","Thaliacea",NA,NA,NA,NA,"Northeastern Brazil"
"1712",673793,673793,742089,"Genus","Tharyx","Webster & Benedict, 1887",129249,1,1,"Annelida","Terebellida","Cirratulidae","Tharyx",NA,"Polychaeta",NA,NA,NA,NA,"Northeastern Brazil"
"1713",673920,673920,763080,"Genus","Theristus","Bastian, 1865",2469,13,1,"Nematoda","Monhysterida","Xyalidae","Theristus",NA,"Chromadorea",NA,NA,NA,NA,"Northeastern Brazil"
"1714",674162,674162,519480,"Species","Thunnus albacares","(Bonnaterre, 1788)",127027,24,1,"Chordata","Perciformes","Scombridae","Thunnus","Thunnus albacares","Actinopteri",TRUE,"NT",NA,NA,"Northeastern Brazil"
"1715",674397,674397,519941,"Species","Tintinnopsis campanula","Ehrenberg, 1840",163913,1,1,"Ciliophora","Choreotrichida","Codonellidae","Tintinnopsis","Tintinnopsis campanula","Oligotrichea",NA,NA,NA,NA,"Northeastern Brazil"
"1716",674400,674400,519941,"Species","Tintinnopsis directa","Hada, 1932",417148,2,2,"Ciliophora","Choreotrichida","Codonellidae","Tintinnopsis","Tintinnopsis directa","Oligotrichea",NA,NA,NA,NA,"Northeastern Brazil"
"1717",674411,674411,519941,"Species","Tintinnopsis rotundata","Kofoid & Campbell, 1929",427431,1,1,"Ciliophora","Choreotrichida","Codonellidae","Tintinnopsis","Tintinnopsis rotundata","Oligotrichea",NA,NA,NA,NA,"Northeastern Brazil"
"1718",674414,674414,519941,"Species","Tintinnopsis tocantinensis","Kofoid & Campbell, 1929",417156,8,2,"Ciliophora","Choreotrichida","Codonellidae","Tintinnopsis","Tintinnopsis tocantinensis","Oligotrichea",NA,NA,NA,NA,"Northeastern Brazil"
"1719",674439,674439,780910,"Genus","Tisbe","Lilljeborg, 1853",115484,4,2,"Arthropoda","Harpacticoida","Tisbidae","Tisbe",NA,NA,NA,NA,NA,NA,"Northeastern Brazil"
"1720",674733,674733,520485,"Species","Trachinocephalus myops","(Forster, 1801)",158884,3,3,"Chordata","Aulopiformes","Synodontidae","Trachinocephalus","Trachinocephalus myops","Actinopteri",NA,NA,NA,NA,"Northeastern Brazil"
"1721",674744,674744,520492,"Species","Trachinotus goodei","Jordan & Evermann, 1896",159654,1,1,"Chordata","Perciformes","Carangidae","Trachinotus","Trachinotus goodei","Actinopteri",TRUE,"LC",NA,NA,"Northeastern Brazil"
"1722",675023,675023,520991,"Species","Triceratium contortum","Shadbolt, 1854",633613,6,1,"Ochrophyta","Triceratiales","Triceratiaceae","Triceratium","Triceratium contortum","Bacillariophyceae",NA,NA,NA,NA,"Northeastern Brazil"
"1723",675029,675029,520991,"Species","Triceratium pentacrinus","(Ehrenberg) Wallich, 1858",418608,29,1,"Ochrophyta","Triceratiales","Triceratiaceae","Triceratium","Triceratium pentacrinus","Bacillariophyceae",NA,NA,NA,NA,"Northeastern Brazil"
"1724",675206,675206,744157,"Genus","Tricoma","Cobb, 1894",2379,2,1,"Nematoda","Desmoscolecida","Desmoscolecidae","Tricoma",NA,"Chromadorea",NA,NA,NA,NA,"Northeastern Brazil"
"1725",675262,675262,621044,"Genus","Trididemnum","Della Valle, 1881",103461,13,1,"Chordata","Aplousobranchia","Didemnidae","Trididemnum",NA,"Ascidiacea",NA,NA,NA,NA,"Northeastern Brazil"
"1726",675467,675467,761974,"Species","Trinectes paulistanus","(Miranda Ribeiro, 1915)",276003,5,1,"Chordata","Pleuronectiformes","Achiridae","Trinectes","Trinectes paulistanus","Actinopteri",NA,NA,NA,NA,"Northeastern Brazil"
"1727",675920,675920,770771,"Genus","Tropidoneis","Cleve, 1891",149518,5,1,"Ochrophyta","Lithodesmiales","Lithodesmiaceae","Tropidoneis",NA,"Bacillariophyceae",NA,NA,NA,NA,"Northeastern Brazil"
"1728",676203,676203,762235,"Species","Turbinella laevigata","Anton, 1838",533539,5,1,"Mollusca","Neogastropoda","Turbinellidae","Turbinella","Turbinella laevigata","Gastropoda",NA,NA,NA,NA,"Northeastern Brazil"
"1729",676690,676690,762453,"Species","Udotea flabellum","(J.Ellis & Solander) M.A.Howe, 1904",211535,19,1,"Chlorophyta","Bryopsidales","Udoteaceae","Udotea","Udotea flabellum","Ulvophyceae",NA,NA,NA,NA,"Northeastern Brazil"
"1730",676720,676720,701264,"Species","Ulva lactuca","Linnaeus, 1753",145984,3,1,"Chlorophyta","Ulvales","Ulvaceae","Ulva","Ulva lactuca","Ulvophyceae",NA,NA,NA,NA,"Northeastern Brazil"
"1731",676884,676884,701276,"Species","Upogebia careospina","Williams, 1993",477899,2,1,"Arthropoda","Decapoda","Upogebiidae","Upogebia","Upogebia careospina","Malacostraca",NA,NA,NA,NA,"Northeastern Brazil"
"1732",676891,676891,701276,"Species","Upogebia everettensis","Thistle",NA,1,1,"Arthropoda","Decapoda","Upogebiidae","Upogebia","Upogebia everettensis","Malacostraca",NA,NA,NA,NA,"Northeastern Brazil"
