"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","redlist","status","ecoregion"
"90",510674,510674,510667,"Species","Siphonodentalium lobatum","(G. B. Sowerby II, 1860)",140015,1,1,"Mollusca","Gadilida","Gadilidae","Siphonodentalium","Siphonodentalium lobatum","Scaphopoda",NA,NA,"High Arctic Archipelago"
"91",510729,510729,764111,"Order","Siphonophorae","Eschscholtz, 1829",1371,55,2,"Cnidaria","Siphonophorae",NA,NA,NA,"Hydrozoa",NA,NA,"High Arctic Archipelago"
"92",512174,512174,669673,"Species","Spinocalanus horridus","Wolfenden, 1911",104851,12,1,"Arthropoda","Calanoida","Spinocalanidae","Spinocalanus","Spinocalanus horridus",NA,NA,NA,"High Arctic Archipelago"
"93",513852,513852,670746,"Species","Sterna hirundo","Linnaeus, 1758",137162,1,1,"Chordata","Charadriiformes","Sternidae","Sterna","Sterna hirundo","Aves",TRUE,"LC","High Arctic Archipelago"
"94",514739,514739,671279,"Species","Strongylocentrotus droebachiensis","(O.F. Müller, 1776)",124321,1,1,"Echinodermata","Camarodonta","Strongylocentrotidae","Strongylocentrotus","Strongylocentrotus droebachiensis","Echinoidea",NA,NA,"High Arctic Archipelago"
"95",514838,514838,514816,"Species","Styela rustica","Linnaeus, 1767",103937,1,1,"Chordata","Stolidobranchia","Styelidae","Styela","Styela rustica","Ascidiacea",NA,NA,"High Arctic Archipelago"
"96",518315,518315,518305,"Species","Textularia earlandi","Parker, 1952",114273,33,1,"Foraminifera","Textulariida","Textulariidae","Textularia","Textularia earlandi","Globothalamea",NA,NA,"High Arctic Archipelago"
"97",518335,518335,518305,"Species","Textularia torquata","Parker, 1952",114288,26,1,"Foraminifera","Textulariida","Textulariidae","Textularia","Textularia torquata","Globothalamea",NA,NA,"High Arctic Archipelago"
"98",519002,519002,531490,"Species","Themisto abyssorum","(Boeck, 1871)",103259,24,2,"Arthropoda","Amphipoda","Hyperiidae","Themisto","Themisto abyssorum","Malacostraca",NA,NA,"High Arctic Archipelago"
"99",519007,519007,531490,"Species","Themisto libellula","(Lichtenstein in Mandt, 1822)",156452,10,1,"Arthropoda","Amphipoda","Hyperiidae","Themisto","Themisto libellula","Malacostraca",NA,NA,"High Arctic Archipelago"
"100",519704,519704,519696,"Species","Thysanoessa longicaudata","(Krøyer, 1846)",110709,9,1,"Arthropoda","Euphausiacea","Euphausiidae","Thysanoessa","Thysanoessa longicaudata","Malacostraca",NA,NA,"High Arctic Archipelago"
"101",519927,519927,519924,"Species","Tindaria derjugini","Gorbunov, 1946",141681,1,1,"Mollusca","Nuculanoida","Tindariidae","Tindaria","Tindaria derjugini","Bivalvia",NA,NA,"High Arctic Archipelago"
"102",521421,521421,675324,"Species","Triglops pingelii","Reinhardt, 1837",127207,4,2,"Chordata","Scorpaeniformes","Cottidae","Triglops","Triglops pingelii","Actinopteri",NA,NA,"High Arctic Archipelago"
"103",521556,521556,521517,"Species","Triloculina trihedra","Loeblich & Tappan, 1953",163643,8,1,"Foraminifera","Miliolida","Hauerinidae","Triloculina","Triloculina trihedra","Tubothalamea",NA,NA,"High Arctic Archipelago"
"104",523957,523957,737619,"Genus","Uria","Brisson, 1760",137041,4,1,"Chordata","Charadriiformes","Alcidae","Uria",NA,"Aves",NA,NA,"High Arctic Archipelago"
"105",524196,524196,769777,"Species","Ursus maritimus","Phipps, 1774",137085,2,1,"Chordata","Carnivora","Ursidae","Ursus","Ursus maritimus","Mammalia",TRUE,"VU","High Arctic Archipelago"
"106",529129,529129,669673,"Species","Spinocalanus antarcticus","Wolfenden, 1906",254612,39,1,"Arthropoda","Calanoida","Spinocalanidae","Spinocalanus","Spinocalanus antarcticus",NA,NA,NA,"High Arctic Archipelago"
"107",539243,539243,682209,"Species","Cyclopecten hoskynsi","(Forbes, 1844)",140700,1,1,"Mollusca","Pectinoida","Propeamussiidae","Cyclopecten","Cyclopecten hoskynsi","Bivalvia",NA,NA,"High Arctic Archipelago"
"108",541810,541810,442295,"Species","Eurycope hanseni","Ohlin, 1901",233979,3,1,"Arthropoda","Isopoda","Munnopsidae","Eurycope","Eurycope hanseni","Malacostraca",NA,NA,"High Arctic Archipelago"
